<----2020-10-09 11:28:03---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=0 order by r.entrance asc, sort asc limit 0,20
<----2020-10-20 16:07:17---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=0 order by r.entrance asc, sort asc limit 0,20
<----2020-10-20 16:07:17---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=1 order by r.entrance asc, sort asc limit 0,20
<----2020-10-24 14:50:59---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=1 order by r.entrance asc, sort asc limit 0,20
<----2020-10-24 14:51:00---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=0 order by r.entrance asc, sort asc limit 0,20
<----2020-10-24 14:57:25---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=1 order by r.entrance asc, sort asc limit 0,20
<----2020-10-24 14:57:38---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=1 order by r.entrance asc, sort asc limit 0,20
<----2020-10-24 14:57:58---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=0 order by r.entrance asc, sort asc limit 0,20
<----2020-10-24 14:58:28---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=1 order by r.entrance asc, sort asc limit 0,20
<----2020-10-24 14:58:50---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=1 order by r.entrance asc, sort asc limit 0,20
<----2020-10-24 14:58:54---->select r.id, r.payment_id,r.sort, t.name as pay_type,r.user_group as user_group,v.name as entrance,w.name as bank,config,balance,lower_limit,upper_limit from #@_payment_group as r left join #@_payment_config as s on r.payment_id = s.id left join #@_dictionary as t on r.pay_type = t.id  left join #@_dictionary as v on r.entrance = v.value and v.classid=4 left join #@_dictionary as w on s.bank_id = w.id where 1=1 and entrance_group = 0 AND purpose=1 order by r.entrance asc, sort asc limit 0,20
